[27-May-2024 07:25:42 UTC] PHP Warning:  Attempt to read property "post_type" on null in /home/641609.cloudwaysapps.com/nmrmurtumc/public_html/wp-content/plugins/dev-content-blocks/post-type.php on line 87
[27-May-2024 07:30:04 UTC] PHP Notice:  Function register_rest_route was called incorrectly. The REST API route definition for variscite-sfdc/v1/sync is missing the required permission_callback argument. For REST API routes that are intended to be public, use __return_true as the permission callback. Please see <a>Debugging in WordPress</a> for more information. (This message was added in version 5.5.0.) in /home/641609.cloudwaysapps.com/nmrmurtumc/public_html/wp-includes/functions.php on line 6078
[27-May-2024 07:30:04 UTC] PHP Notice:  Function register_rest_route was called incorrectly. The REST API route definition for variscite-sfdc/v1/sync is missing the required permission_callback argument. For REST API routes that are intended to be public, use __return_true as the permission callback. Please see <a>Debugging in WordPress</a> for more information. (This message was added in version 5.5.0.) in /home/641609.cloudwaysapps.com/nmrmurtumc/public_html/wp-includes/functions.php on line 6078
[27-May-2024 07:30:05 UTC] PHP Notice:  Function register_rest_route was called incorrectly. The REST API route definition for variscite-sfdc/v1/sync is missing the required permission_callback argument. For REST API routes that are intended to be public, use __return_true as the permission callback. Please see <a>Debugging in WordPress</a> for more information. (This message was added in version 5.5.0.) in /home/641609.cloudwaysapps.com/nmrmurtumc/public_html/wp-includes/functions.php on line 6078
[27-May-2024 07:30:05 UTC] PHP Notice:  Function register_rest_route was called incorrectly. The REST API route definition for variscite-sfdc/v1/sync is missing the required permission_callback argument. For REST API routes that are intended to be public, use __return_true as the permission callback. Please see <a>Debugging in WordPress</a> for more information. (This message was added in version 5.5.0.) in /home/641609.cloudwaysapps.com/nmrmurtumc/public_html/wp-includes/functions.php on line 6078
[27-May-2024 07:31:42 UTC] PHP Warning:  Attempt to read property "post_type" on null in /home/641609.cloudwaysapps.com/nmrmurtumc/public_html/wp-content/plugins/dev-content-blocks/post-type.php on line 87
[27-May-2024 07:43:31 UTC] PHP Warning:  Trying to access array offset on value of type null in /home/641609.cloudwaysapps.com/nmrmurtumc/public_html/wp-content/plugins/woo-custom-ups/woocommerce-shipping.php on line 253
[27-May-2024 07:43:31 UTC] PHP Warning:  Trying to access array offset on value of type null in /home/641609.cloudwaysapps.com/nmrmurtumc/public_html/wp-content/plugins/woo-custom-ups/woocommerce-shipping.php on line 287
[27-May-2024 07:43:31 UTC] PHP Warning:  Trying to access array offset on value of type null in /home/641609.cloudwaysapps.com/nmrmurtumc/public_html/wp-content/plugins/woo-custom-ups/woocommerce-shipping.php on line 288
[27-May-2024 07:43:31 UTC] PHP Warning:  Trying to access array offset on value of type null in /home/641609.cloudwaysapps.com/nmrmurtumc/public_html/wp-content/plugins/woo-custom-ups/woocommerce-shipping.php on line 291
[27-May-2024 07:43:31 UTC] PHP Warning:  Trying to access array offset on value of type null in /home/641609.cloudwaysapps.com/nmrmurtumc/public_html/wp-content/plugins/woo-custom-ups/woocommerce-shipping.php on line 291
