id,title,description,link,product_type,image_link,condition,availability,price,brand,identifier_exists
"VAR-SOM-MX7 System on Module","VAR-SOM-MX7 System on Module","The VAR-SOM-MX7 is a highly flexible System-on-Module based on NXP’s i.MX7, 1GHz Dual-core ARM Cortex-A7™ processor. Order Now!",https://shop.variscite.com/product/system-on-module/var-som-mx7-system-on-module/,"System on Module",https://shop.variscite.com/wp-content/uploads/2019/03/shop-VAR-SOM-MX7-System-on-Module.jpg,New,In-stock,"105.00 USD",Variscite,false
"DART-6UL System on Module","DART-6UL System on Module","Measuring only 25mm x 50mm, the DART-6UL is a highly flexible System-on-Module based on NXP i.MX 6UltraLite or i.MX 6ULL ARM Cortex-A7™ processor. Buy now!",https://shop.variscite.com/product/system-on-module/dart-6ul-system-on-module/,"System on Module",https://shop.variscite.com/wp-content/uploads/2019/03/shop-DART-6UL-system-on-module.jpg,New,In-stock,"76.00 USD",Variscite,false
"VAR-SOM-MX6 System on Module","VAR-SOM-MX6 System on Module","The VAR-SOM-MX6 sets the bar for unparalleled design flexibility, supporting NXP's i.MX6 processor ARM Cortex-A9. Buy now!",https://shop.variscite.com/product/system-on-module/var-som-mx6-system-on-module/,"System on Module",https://shop.variscite.com/wp-content/uploads/2019/03/shop-VAR-SOM-MX6-system-on-module.jpg,New,In-stock,"162.00 USD",Variscite,false
"VAR-SOM-SOLO System on Module","VAR-SOM-SOLO System on Module","Cost-effective and highly integrated off-the-shelf solution, the VAR-SOM-SOLO System on Module based on NXP i.MX6 Cortex-A9 processor. Order now!",https://shop.variscite.com/product/system-on-module/var-som-solo-system-on-module/,"System on Module",https://shop.variscite.com/wp-content/uploads/2019/03/shop-VAR-SOM-SOLO-DUAL-system-on-module.jpg,New,In-stock,"120.00 USD",Variscite,false
"VAR-SOM-DUAL System on Module","VAR-SOM-DUAL System on Module","Cost-effective highly integrated off-the-shelf solution, the VAR-SOM-DUAL features NXP i.MX6 DUAL Lite processor, small dimensions and optimized cost. Buy!",https://shop.variscite.com/product/system-on-module/var-som-dual-system-on-module/,"System on Module",https://shop.variscite.com/wp-content/uploads/2019/03/shop-VAR-SOM-SOLO-DUAL-system-on-module.jpg,New,In-stock,"127.00 USD",Variscite,false
"DART-MX8M-MINI System on Module","DART-MX8M-MINI System on Module","the DART-MX8M-MINI System on Module based on NXP’s i.MX8M Mini with up to 1.8GHz Quad-core ARM Cortex-A53 plus 400MHz Cortex-M4 real-time processor. Buy now!",https://shop.variscite.com/product/system-on-module/dart-mx8m-mini-system-on-module/,"System on Module",https://shop.variscite.com/wp-content/uploads/2019/06/shop-DART-MX8M-MINI-system-on-modulet.jpg,New,In-stock,"163.00 USD",Variscite,false
"DART-MX8M System on Module","DART-MX8M System on Module","The DART-MX8M System on Module based on NXP’s i.MX8M with up to 1.5GHz Quad-core ARM Cortex-A53™ plus 266MHz Cortex-M4™ real-time processor. Buy now!",https://shop.variscite.com/product/system-on-module/dart-mx8m-system-on-module/,"System on Module",https://shop.variscite.com/wp-content/uploads/2019/06/shop-DART-MX8M-system-on-module.jpg,New,In-stock,"213.00 USD",Variscite,false
"VAR-SOM-6UL System on Module","VAR-SOM-6UL System on Module","The VAR-SOM-6UL is highly flexible System-on-Module (SoM) based on NXP i.MX 6ULL ARM Cortex-A7 processor, up to 900MHz CPU Clock. Buy now!",https://shop.variscite.com/product/system-on-module/var-som-6ul-system-on-module/,"System on Module",https://shop.variscite.com/wp-content/uploads/2019/07/shop-VAR-SOM-6UL.jpg,New,In-stock,"86.00 USD",Variscite,false
"VAR-SOM-MX8X System on Module","VAR-SOM-MX8X System on Module","The VAR-SOM-MX8X supports NXP’s i.MX 8X 1.2GHz Cortex™-A35 processor plus Cortex-M4F real-time co-processor and provides built-in safety features. Buy now!",https://shop.variscite.com/product/system-on-module/var-som-mx8x-system-on-module/,"System on Module",https://shop.variscite.com/wp-content/uploads/2019/08/shop-var-som-mx8x-system-on-modules.jpg,New,In-stock,"201.00 USD",Variscite,false
"VAR-SOM-MX8M-MINI System on Module","VAR-SOM-MX8M-MINI System on Module","The VAR-SOM-MX8M-MINI Based on NXP’s i.MX 8M Mini with 1.8GHz Quad-core ARM Cortex-A53™ plus 400MHz Cortex-M4™ real-time processor. Buy now!",https://shop.variscite.com/product/system-on-module/var-som-mx8m-mini-system-on-module/,"System on Module",https://shop.variscite.com/wp-content/uploads/2020/02/shop-VAR-SOM-MX8M-MINI-system-on-modules.jpg,New,In-stock,"163.00 USD",Variscite,false
